Input: 0x0, Expected: Accept, Got: Accept, Status: Pass
Input: 0X0, Expected: Accept, Got: Accept, Status: Pass
Input: 0xff, Expected: Accept, Got: Accept, Status: Pass
Input: 0XFF, Expected: Accept, Got: Accept, Status: Pass
Input: 0xabc, Expected: Accept, Got: Accept, Status: Pass
Input: 0xABC, Expected: Accept, Got: Accept, Status: Pass
Input: 0xaBcD, Expected: Accept, Got: Accept, Status: Pass
Input: 0x123, Expected: Accept, Got: Accept, Status: Pass
Input: 0x1_2_3, Expected: Accept, Got: Accept, Status: Pass
Input: 0xa_b_c, Expected: Accept, Got: Accept, Status: Pass
Input: 0xF_F_F, Expected: Accept, Got: Accept, Status: Pass
Input: 0x1a2b3c, Expected: Accept, Got: Accept, Status: Pass
Input: 0x1A2B3C, Expected: Accept, Got: Accept, Status: Pass
Input: 0x1_a2_b3_c, Expected: Accept, Got: Accept, Status: Pass
Input: 0x0_0, Expected: Accept, Got: Accept, Status: Pass
Input: 0x000, Expected: Accept, Got: Accept, Status: Pass
Input: 0x0_0_0, Expected: Accept, Got: Accept, Status: Pass
Input: 0xdead_beef, Expected: Accept, Got: Accept, Status: Pass
Input: 0x0123456789abcdef, Expected: Accept, Got: Accept, Status: Pass
Input: 0x0123456789ABCDEF, Expected: Accept, Got: Accept, Status: Pass
Input: 0x0_1_2_3_4_5_6_7_8_9_a_b_c_d_e_f, Expected: Accept, Got: Accept, Status: Pass
Input: 0xf_e_d_c_b_a_9_8_7_6_5_4_3_2_1_0, Expected: Accept, Got: Accept, Status: Pass
Input: 0x_f, Expected: Reject, Got: Reject, Status: Pass
Input: 0xf_, Expected: Reject, Got: Reject, Status: Pass
Input: 0x_, Expected: Reject, Got: Reject, Status: Pass
Input: 0x__, Expected: Reject, Got: Reject, Status: Pass
Input: 0x__f, Expected: Reject, Got: Reject, Status: Pass
Input: 0xf__0, Expected: Reject, Got: Reject, Status: Pass
Input: 0x_f_0, Expected: Reject, Got: Reject, Status: Pass
Input: 0xf_0_, Expected: Reject, Got: Reject, Status: Pass
Input: 0x, Expected: Reject, Got: Reject, Status: Pass
Input: 0xg, Expected: Reject, Got: Reject, Status: Pass
Input: 0xG, Expected: Reject, Got: Reject, Status: Pass
Input: 0xz, Expected: Reject, Got: Reject, Status: Pass
Input: 0xZ, Expected: Reject, Got: Reject, Status: Pass
Input: 0xg_f, Expected: Reject, Got: Reject, Status: Pass
Input: 0xf_g, Expected: Reject, Got: Reject, Status: Pass
Input: 0xfgh, Expected: Reject, Got: Reject, Status: Pass
Input: 0x1g3, Expected: Reject, Got: Reject, Status: Pass
Input: 00xf, Expected: Reject, Got: Reject, Status: Pass
Input: 000xf, Expected: Reject, Got: Reject, Status: Pass
Input: xf, Expected: Reject, Got: Reject, Status: Pass
Input: Xf, Expected: Reject, Got: Reject, Status: Pass
Input: 0, Expected: Reject, Got: Reject, Status: Pass
Input: f, Expected: Reject, Got: Reject, Status: Pass
Input: 0f, Expected: Reject, Got: Reject, Status: Pass
Input: 00f, Expected: Reject, Got: Reject, Status: Pass
Input: 0f0f, Expected: Reject, Got: Reject, Status: Pass
Input: 0Xf0, Expected: Accept, Got: Accept, Status: Pass
Input: 0xf0, Expected: Accept, Got: Accept, Status: Pass
Input: 0xf.0, Expected: Reject, Got: Reject, Status: Pass
Input: 0xf,0, Expected: Reject, Got: Reject, Status: Pass
Input: 0x+f, Expected: Reject, Got: Reject, Status: Pass
Input: 0x-f, Expected: Reject, Got: Reject, Status: Pass
Input: +0xf, Expected: Reject, Got: Reject, Status: Pass
Input: -0xf, Expected: Reject, Got: Reject, Status: Pass
Input: 0xf+0, Expected: Reject, Got: Reject, Status: Pass
Input: 0xf-0, Expected: Reject, Got: Reject, Status: Pass
Input: 0o7, Expected: Reject, Got: Reject, Status: Pass
Input: 0b1, Expected: Reject, Got: Reject, Status: Pass
Input: 0O7, Expected: Reject, Got: Reject, Status: Pass
Input: 0B1, Expected: Reject, Got: Reject, Status: Pass
Input: 0ox7, Expected: Reject, Got: Reject, Status: Pass
Input: 0bx1, Expected: Reject, Got: Reject, Status: Pass
Input: 0x, Expected: Reject, Got: Reject, Status: Pass
