Input: 0o0, Expected: Accept, Got: Reject, Status: Fail
Input: 0O0, Expected: Accept, Got: Reject, Status: Fail
Input: 0o7, Expected: Accept, Got: Reject, Status: Fail
Input: 0O7, Expected: Accept, Got: Reject, Status: Fail
Input: 0o123, Expected: Accept, Got: Reject, Status: Fail
Input: 0O456, Expected: Accept, Got: Reject, Status: Fail
Input: 0o777, Expected: Accept, Got: Reject, Status: Fail
Input: 0o1_2_3, Expected: Accept, Got: Reject, Status: Fail
Input: 0o7_7_7, Expected: Accept, Got: Reject, Status: Fail
Input: 0o01234567, Expected: Accept, Got: Reject, Status: Fail
Input: 0o0_1_2_3_4_5_6_7, Expected: Accept, Got: Reject, Status: Fail
Input: 0o1_23_456, Expected: Accept, Got: Reject, Status: Fail
Input: 0o7654321, Expected: Accept, Got: Reject, Status: Fail
Input: 0o_, Expected: Reject, Got: Reject, Status: Pass
Input: 0o__, Expected: Reject, Got: Reject, Status: Pass
Input: 0o__7, Expected: Reject, Got: Reject, Status: Pass
Input: 0o7__, Expected: Reject, Got: Reject, Status: Pass
Input: 0o_7_0, Expected: Reject, Got: Reject, Status: Pass
Input: 0o7_0_, Expected: Reject, Got: Reject, Status: Pass
Input: 0o, Expected: Reject, Got: Reject, Status: Pass
Input: 0o8, Expected: Reject, Got: Reject, Status: Pass
Input: 0O8, Expected: Reject, Got: Reject, Status: Pass
Input: 0o9, Expected: Reject, Got: Reject, Status: Pass
Input: 0O9, Expected: Reject, Got: Reject, Status: Pass
Input: 0o89, Expected: Reject, Got: Reject, Status: Pass
Input: 0o78, Expected: Reject, Got: Reject, Status: Pass
Input: 0o1_8, Expected: Reject, Got: Reject, Status: Pass
Input: 0o7g, Expected: Reject, Got: Reject, Status: Pass
Input: 0o7.0, Expected: Reject, Got: Reject, Status: Pass
Input: 0o7,0, Expected: Reject, Got: Reject, Status: Pass
Input: 0o+7, Expected: Reject, Got: Reject, Status: Pass
Input: 0o-7, Expected: Reject, Got: Reject, Status: Pass
Input: +0o7, Expected: Reject, Got: Reject, Status: Pass
Input: -0o7, Expected: Reject, Got: Reject, Status: Pass
Input: 0o7+0, Expected: Reject, Got: Reject, Status: Pass
Input: 0o7-0, Expected: Reject, Got: Reject, Status: Pass
Input: 0x7, Expected: Reject, Got: Reject, Status: Pass
Input: 0b1, Expected: Reject, Got: Reject, Status: Pass
Input: 0X7, Expected: Reject, Got: Reject, Status: Pass
Input: 0B1, Expected: Reject, Got: Reject, Status: Pass
Input: 0oo7, Expected: Reject, Got: Reject, Status: Pass
Input: 0bo1, Expected: Reject, Got: Reject, Status: Pass
Input: 0o, Expected: Reject, Got: Reject, Status: Pass
